amount,transaction_type,category,description,transaction_date,source
425.50,expense,Food,Synthetic grocery purchase,2026-08-01T10:15:00,csv
80.00,expense,Transport,Synthetic metro fare,2026-08-01T18:30:00,csv
1850.00,expense,Utilities,Synthetic electricity bill,2026-08-03T09:00:00,csv
1200.00,expense,Shopping,Synthetic household items,2026-08-05T14:20:00,csv
350.00,expense,Food,Synthetic cafe meal,2026-08-07T13:10:00,csv
75000.00,income,Salary,Synthetic monthly salary,2026-08-10T09:30:00,csv
499.00,expense,Entertainment,Synthetic streaming subscription,2026-08-12T20:00:00,csv
650.00,expense,Health,Synthetic pharmacy purchase,2026-08-14T17:45:00,csv
220.00,expense,Transport,Synthetic ride share trip,2026-08-16T08:15:00,csv
980.00,expense,Education,Synthetic online course fee,2026-08-18T19:00:00,csv
1600.00,expense,Food,Synthetic weekend restaurant,2026-08-21T20:30:00,csv
2500.00,income,Freelance,Synthetic project payment,2026-08-25T11:00:00,csv
